index,state_year,AA,year
0,AZ-2006,28.89916666666667,2006
1,AZ-2007,25.9875,2007
2,AZ-2008,24.325,2008
3,AZ-2009,22.385833333333334,2009
4,AZ-2010,21.67,2010
5,AZ-2011,21.838333333333335,2011
6,AZ-2012,22.813333333333333,2012
7,AZ-2013,21.920833333333334,2013
8,AZ-2014,20.47,2014
9,AR-2006,33.47166666666667,2006
10,AR-2007,31.095,2007
11,AR-2008,29.926666666666666,2008
12,AR-2009,31.6075,2009
13,AR-2010,31.643333333333334,2010
14,AR-2011,29.997500000000002,2011
15,AR-2012,28.996666666666666,2012
16,AR-2013,27.176666666666666,2013
17,AR-2014,27.9825,2014
18,CA-2006,25.5525,2006
19,CA-2007,24.971666666666668,2007
20,CA-2008,23.781666666666666,2008
21,CA-2009,22.580833333333334,2009
22,CA-2010,21.444999999999997,2010
23,CA-2011,20.19,2011
24,CA-2012,20.746666666666666,2012
25,CA-2013,19.354166666666668,2013
26,CA-2014,19.715,2014
27,CO-2006,22.16416666666667,2006
28,CO-2007,19.485833333333332,2007
29,CO-2008,19.88416666666667,2008
30,CO-2009,18.669166666666666,2009
31,CO-2010,19.099166666666665,2010
32,CO-2011,16.996666666666666,2011
33,CO-2012,16.529999999999998,2012
34,CO-2013,15.625833333333333,2013
35,CO-2014,15.9975,2014
36,CT-2006,12.335,2006
37,CT-2007,12.945833333333333,2007
38,CT-2008,13.999166666666667,2008
39,CT-2009,13.79,2009
40,CT-2010,13.528333333333334,2010
41,CT-2011,12.525,2011
42,CT-2012,12.588333333333333,2012
43,CT-2013,11.369166666666667,2013
44,CT-2014,10.473333333333333,2014
45,DE-2006,36.45,2006
46,DE-2007,38.5075,2007
47,DE-2008,37.3375,2008
48,DE-2009,33.84583333333333,2009
49,DE-2010,31.469166666666666,2010
50,DE-2011,29.679999999999996,2011
51,DE-2012,29.49083333333333,2012
52,DE-2013,26.656666666666666,2013
53,DE-2014,25.45583333333333,2014
54,GA-2006,23.206666666666667,2006
55,GA-2007,23.205,2007
56,GA-2008,22.633333333333336,2008
57,GA-2009,20.598333333333333,2009
58,GA-2010,20.51,2010
59,GA-2011,18.528333333333332,2011
60,GA-2012,18.756666666666664,2012
61,GA-2013,17.886666666666667,2013
62,GA-2014,19.091666666666665,2014
63,HI-2006,13.6275,2006
64,HI-2007,13.123333333333335,2007
65,HI-2008,13.170833333333334,2008
66,HI-2009,13.590000000000002,2009
67,HI-2010,13.085,2010
68,HI-2011,12.716666666666667,2011
69,HI-2012,11.689166666666667,2012
70,HI-2013,15.574166666666665,2013
71,HI-2014,13.061666666666667,2014
72,ID-2006,15.512500000000001,2006
73,ID-2007,16.335,2007
74,ID-2008,15.520000000000001,2008
75,ID-2009,15.8225,2009
76,ID-2010,14.378333333333332,2010
77,ID-2011,13.1975,2011
78,ID-2012,13.464166666666666,2012
79,ID-2013,13.079166666666666,2013
80,ID-2014,13.0,2014
81,IL-2006,31.168333333333333,2006
82,IL-2007,31.213333333333335,2007
83,IL-2008,30.649166666666662,2008
84,IL-2009,28.115,2009
85,IL-2010,21.755,2010
86,IL-2011,19.8825,2011
87,IL-2012,19.45,2012
88,IL-2013,18.474999999999998,2013
89,IL-2014,17.959999999999997,2014
90,IN-2006,15.3775,2006
91,IN-2007,16.16,2007
92,IN-2008,16.80666666666667,2008
93,IN-2009,16.881666666666664,2009
94,IN-2010,17.188333333333333,2010
95,IN-2011,17.283333333333335,2011
96,IN-2012,19.236666666666668,2012
97,IN-2013,19.235833333333332,2013
98,IN-2014,20.1725,2014
99,IA-2006,17.841666666666665,2006
100,IA-2007,18.738333333333333,2007
101,IA-2008,17.93,2008
102,IA-2009,17.830833333333334,2009
103,IA-2010,17.410833333333333,2010
104,IA-2011,16.986666666666668,2011
105,IA-2012,16.99833333333333,2012
106,IA-2013,17.340833333333332,2013
107,IA-2014,16.729166666666668,2014
108,KS-2006,26.15833333333333,2006
109,KS-2007,27.900000000000002,2007
110,KS-2008,25.435833333333335,2008
111,KS-2009,24.138333333333335,2009
112,KS-2010,23.0825,2010
113,KS-2011,22.0625,2011
114,KS-2012,22.35083333333333,2012
115,KS-2013,20.863333333333333,2013
116,KS-2014,20.6975,2014
117,KY-2006,12.568333333333333,2006
118,KY-2007,13.459166666666667,2007
119,KY-2008,13.923333333333334,2008
120,KY-2009,11.495833333333332,2009
121,KY-2010,10.1175,2010
122,KY-2011,9.818333333333333,2011
123,KY-2012,9.135,2012
124,KY-2013,8.0175,2013
125,KY-2014,8.39,2014
126,LA-2006,43.5925,2006
127,LA-2007,44.8025,2007
128,LA-2008,40.3025,2008
129,LA-2009,37.01416666666667,2009
130,LA-2010,32.9825,2010
131,LA-2011,32.8075,2011
132,LA-2012,28.243333333333336,2012
133,LA-2013,29.176666666666666,2013
134,LA-2014,30.605,2014
135,ME-2006,4.96,2006
136,ME-2007,5.088333333333334,2007
137,ME-2008,5.2475,2008
138,ME-2009,5.031666666666667,2009
139,ME-2010,4.993333333333333,2010
140,ME-2011,5.321666666666666,2011
141,ME-2012,5.066666666666666,2012
142,ME-2013,5.704166666666667,2013
143,ME-2014,5.57,2014
144,MD-2006,32.663333333333334,2006
145,MD-2007,31.4025,2007
146,MD-2008,30.42833333333333,2008
147,MD-2009,29.275000000000002,2009
148,MD-2010,27.2775,2010
149,MD-2011,24.11583333333333,2011
150,MD-2012,23.087500000000002,2012
151,MD-2013,22.525833333333335,2013
152,MD-2014,21.191666666666666,2014
153,MA-2006,28.9575,2006
154,MA-2007,27.3025,2007
155,MA-2008,27.171666666666667,2008
156,MA-2009,26.771666666666665,2009
157,MA-2010,27.99416666666667,2010
158,MA-2011,24.953333333333333,2011
159,MA-2012,23.579166666666666,2012
160,MA-2013,22.5925,2013
161,MA-2014,22.629166666666666,2014
162,MI-2006,30.537499999999998,2006
163,MI-2007,29.265833333333333,2007
164,MI-2008,27.85166666666667,2008
165,MI-2009,27.145,2009
166,MI-2010,27.0275,2010
167,MI-2011,24.266666666666666,2011
168,MI-2012,24.751666666666665,2012
169,MI-2013,23.116666666666664,2013
170,MI-2014,23.323333333333334,2014
171,MN-2006,14.512500000000001,2006
172,MN-2007,13.01,2007
173,MN-2008,12.1775,2008
174,MN-2009,11.586666666666666,2009
175,MN-2010,11.194166666666666,2010
176,MN-2011,10.443333333333333,2011
177,MN-2012,11.005,2012
178,MN-2013,10.618333333333334,2013
179,MN-2014,10.258333333333333,2014
180,MS-2006,13.419166666666667,2006
181,MS-2007,12.7525,2007
182,MS-2008,13.290833333333333,2008
183,MS-2009,12.261666666666665,2009
184,MS-2010,11.754166666666668,2010
185,MS-2011,13.375833333333333,2011
186,MS-2012,13.0925,2012
187,MS-2013,13.585,2013
188,MS-2014,13.315,2014
189,MO-2006,31.632499999999997,2006
190,MO-2007,32.735,2007
191,MO-2008,28.575833333333335,2008
192,MO-2009,27.950833333333332,2009
193,MO-2010,26.945833333333336,2010
194,MO-2011,26.031666666666666,2011
195,MO-2012,26.985833333333332,2012
196,MO-2013,24.903333333333332,2013
197,MO-2014,25.415833333333335,2014
198,MT-2006,25.651666666666667,2006
199,MT-2007,26.125,2007
200,MT-2008,20.863333333333333,2008
201,MT-2009,18.769166666666667,2009
202,MT-2010,18.5825,2010
203,MT-2011,18.203333333333333,2011
204,MT-2012,18.0625,2012
205,MT-2013,18.253333333333334,2013
206,MT-2014,20.743333333333332,2014
207,NE-2006,16.694166666666664,2006
208,NE-2007,17.88416666666667,2007
209,NE-2008,17.3425,2008
210,NE-2009,15.840833333333334,2009
211,NE-2010,15.925833333333335,2010
212,NE-2011,13.641666666666666,2011
213,NE-2012,13.711666666666666,2012
214,NE-2013,14.015,2013
215,NE-2014,14.769166666666665,2014
216,NV-2006,34.4925,2006
217,NV-2007,36.1475,2007
218,NV-2008,35.87583333333333,2008
219,NV-2009,36.035000000000004,2009
220,NV-2010,36.464999999999996,2010
221,NV-2011,30.28833333333333,2011
222,NV-2012,32.5875,2012
223,NV-2013,29.650000000000002,2013
224,NV-2014,31.028333333333332,2014
225,NH-2006,6.839166666666667,2006
226,NH-2007,6.949166666666667,2007
227,NH-2008,8.0375,2008
228,NH-2009,8.239166666666668,2009
229,NH-2010,8.695833333333333,2010
230,NH-2011,10.1725,2011
231,NH-2012,9.645,2012
232,NH-2013,9.24,2013
233,NH-2014,9.194166666666666,2014
234,NJ-2006,14.86,2006
235,NJ-2007,13.969166666666666,2007
236,NJ-2008,13.58,2008
237,NJ-2009,13.51,2009
238,NJ-2010,13.155833333333334,2010
239,NJ-2011,12.834166666666667,2011
240,NJ-2012,12.148333333333333,2012
241,NJ-2013,11.301666666666668,2013
242,NJ-2014,10.42,2014
243,NM-2006,40.59083333333333,2006
244,NM-2007,41.281666666666666,2007
245,NM-2008,40.3325,2008
246,NM-2009,40.3525,2009
247,NM-2010,38.270833333333336,2010
248,NM-2011,36.939166666666665,2011
249,NM-2012,35.4575,2012
250,NM-2013,36.1675,2013
251,NM-2014,35.2275,2014
252,NY-2006,19.623333333333335,2006
253,NY-2007,19.507499999999997,2007
254,NY-2008,18.0675,2008
255,NY-2009,18.633333333333333,2009
256,NY-2010,18.954166666666666,2010
257,NY-2011,19.58833333333333,2011
258,NY-2012,20.323333333333334,2012
259,NY-2013,19.708333333333332,2013
260,NY-2014,19.144166666666667,2014
261,NC-2006,24.215,2006
262,NC-2007,23.793333333333333,2007
263,NC-2008,22.911666666666665,2008
264,NC-2009,20.464166666666667,2009
265,NC-2010,19.31,2010
266,NC-2011,18.548333333333336,2011
267,NC-2012,19.246666666666666,2012
268,NC-2013,17.93,2013
269,NC-2014,17.993333333333336,2014
270,ND-2006,12.014166666666666,2006
271,ND-2007,12.8575,2007
272,ND-2008,13.494166666666667,2008
273,ND-2009,14.250833333333333,2009
274,ND-2010,14.898333333333333,2010
275,ND-2011,16.006666666666664,2011
276,ND-2012,15.319166666666668,2012
277,ND-2013,16.624166666666667,2013
278,ND-2014,16.0825,2014
279,OH-2006,13.081666666666665,2006
280,OH-2007,13.261666666666665,2007
281,OH-2008,12.625833333333333,2008
282,OH-2009,12.0225,2009
283,OH-2010,11.461666666666666,2010
284,OH-2011,11.200000000000001,2011
285,OH-2012,11.28,2012
286,OH-2013,10.926666666666668,2013
287,OH-2014,10.920833333333334,2014
288,OK-2006,30.33666666666667,2006
289,OK-2007,30.08583333333333,2007
290,OK-2008,32.03416666666667,2008
291,OK-2009,30.36583333333333,2009
292,OK-2010,28.98166666666667,2010
293,OK-2011,27.377499999999998,2011
294,OK-2012,28.499166666666667,2012
295,OK-2013,25.284166666666668,2013
296,OK-2014,23.564999999999998,2014
297,OR-2006,14.760833333333332,2006
298,OR-2007,15.205,2007
299,OR-2008,13.299999999999999,2008
300,OR-2009,13.455833333333333,2009
301,OR-2010,12.921666666666667,2010
302,OR-2011,13.1275,2011
303,OR-2012,12.798333333333334,2012
304,OR-2013,11.6225,2013
305,OR-2014,13.2525,2014
306,PA-2006,20.143333333333334,2006
307,PA-2007,19.12666666666667,2007
308,PA-2008,18.770833333333332,2008
309,PA-2009,17.485,2009
310,PA-2010,17.128333333333334,2010
311,PA-2011,17.036666666666665,2011
312,PA-2012,16.703333333333333,2012
313,PA-2013,15.44,2013
314,PA-2014,14.512500000000001,2014
315,RI-2006,10.958333333333334,2006
316,RI-2007,10.908333333333333,2007
317,RI-2008,11.601666666666667,2008
318,RI-2009,12.3825,2009
319,RI-2010,12.669166666666667,2010
320,RI-2011,11.914166666666667,2011
321,RI-2012,12.8125,2012
322,RI-2013,12.26,2013
323,RI-2014,11.040833333333333,2014
324,SC-2006,48.612500000000004,2006
325,SC-2007,49.3375,2007
326,SC-2008,44.5875,2008
327,SC-2009,42.105,2009
328,SC-2010,38.487500000000004,2010
329,SC-2011,37.843333333333334,2011
330,SC-2012,35.035833333333336,2012
331,SC-2013,30.9225,2013
332,SC-2014,29.94666666666667,2014
333,SD-2006,15.542499999999999,2006
334,SD-2007,14.457500000000001,2007
335,SD-2008,16.1875,2008
336,SD-2009,10.809166666666668,2009
337,SD-2010,16.650000000000002,2010
338,SD-2011,14.607500000000002,2011
339,SD-2012,19.826666666666668,2012
340,SD-2013,21.07,2013
341,SD-2014,21.339166666666667,2014
342,TN-2006,44.54666666666666,2006
343,TN-2007,44.4175,2007
344,TN-2008,42.3125,2008
345,TN-2009,39.4325,2009
346,TN-2010,36.7725,2010
347,TN-2011,36.9225,2011
348,TN-2012,39.435,2012
349,TN-2013,35.61,2013
350,TN-2014,37.714166666666664,2014
351,TX-2006,26.4275,2006
352,TX-2007,25.595,2007
353,TX-2008,26.179166666666664,2008
354,TX-2009,24.894166666666667,2009
355,TX-2010,23.689999999999998,2010
356,TX-2011,21.925,2011
357,TX-2012,21.515,2012
358,TX-2013,20.591666666666665,2013
359,TX-2014,20.366666666666667,2014
360,UT-2006,11.736666666666666,2006
361,UT-2007,12.3575,2007
362,UT-2008,11.548333333333334,2008
363,UT-2009,11.150833333333333,2009
364,UT-2010,10.954166666666666,2010
365,UT-2011,10.4125,2011
366,UT-2012,10.9,2012
367,UT-2013,10.930833333333332,2013
368,UT-2014,9.838333333333333,2014
369,VA-2006,12.674166666666666,2006
370,VA-2007,12.005833333333333,2007
371,VA-2008,11.153333333333334,2008
372,VA-2009,10.434166666666666,2009
373,VA-2010,9.946666666666667,2010
374,VA-2011,8.949166666666667,2011
375,VA-2012,9.2825,2012
376,VA-2013,9.180833333333334,2013
377,VA-2014,9.465,2014
378,WA-2006,16.790833333333335,2006
379,WA-2007,16.570833333333333,2007
380,WA-2008,16.037499999999998,2008
381,WA-2009,15.945,2009
382,WA-2010,15.335,2010
383,WA-2011,14.8275,2011
384,WA-2012,15.07,2012
385,WA-2013,13.899166666666666,2013
386,WA-2014,13.731666666666667,2014
387,WV-2006,17.51,2006
388,WV-2007,17.528333333333332,2007
389,WV-2008,17.103333333333335,2008
390,WV-2009,18.985,2009
391,WV-2010,18.514166666666664,2010
392,WV-2011,18.95,2011
393,WV-2012,20.5625,2012
394,WV-2013,17.9325,2013
395,WV-2014,20.267500000000002,2014
396,WI-2006,13.402500000000002,2006
397,WI-2007,14.0525,2007
398,WI-2008,13.459166666666667,2008
399,WI-2009,12.498333333333333,2009
400,WI-2010,12.244166666666667,2010
401,WI-2011,12.185,2011
402,WI-2012,14.798333333333332,2012
403,WI-2013,13.513333333333334,2013
404,WI-2014,14.405833333333334,2014
