index,state_year,R1M20,R1M40,R1M60,R1M80,R1F20,R1F40,R1F60,R1F80,R2M20,R2M40,R2M60,R2M80,R2F20,R2F40,R2F60,R2F80,R3M20,R3M40,R3M60,R3M80,R3F20,R3F40,R3F60,R3F80,R4M20,R4M40,R4M60,R4M80,R4F20,R4F40,R4F60,R4F80,R5M20,R5M40,R5M60,R5M80,R5F20,R5F40,R5F60,R5F80,R6M20,R6M40,R6M60,R6M80,R6F20,R6F40,R6F60,R6F80
0,AL-2006,1634192,1681546,1902236,1097066,839878,852748,944000,505826,792558,689732,641810,250872,400146,317058,292576,104922,16652,17574,17192,5312,8530,9272,8464,2648,24610,35500,23972,7348,12360,17984,10424,2974,2596,3352,1140,286,1370,2076,614,150,48738,24222,21046,8478,24720,11810,9978,3914
1,AL-2007,1644160,1685652,1895946,1134122,844694,854694,941348,525190,792930,696852,649640,259446,400368,320258,295674,109508,17260,18202,17380,5854,8796,9556,8490,2934,26114,37148,24870,8098,13128,18694,10868,3308,2918,3522,1190,320,1554,2174,646,156,52616,25454,21600,8926,26580,12340,10366,4094
2,AL-2008,1653084,1690422,1893510,1166318,848486,857176,940474,541948,794374,704742,656500,270030,401202,324274,298290,114756,18000,18802,17528,6416,9158,9956,8626,3262,27524,37878,26446,8760,13796,18878,11712,3510,3232,3986,1300,332,1696,2492,700,178,57000,26962,22220,9350,28624,13036,10768,4318
3,AL-2009,1652450,1695584,1896204,1197498,847940,860220,943498,557932,793232,712768,661030,280428,400508,328604,301068,120162,18964,19326,17756,6872,9652,10232,8706,3526,28854,40214,27998,9586,14478,20056,12590,3884,3476,4308,1418,352,1824,2650,760,184,60942,28730,22800,9872,30632,13870,11062,4556
4,AK-2006,245744,264490,316168,96380,127538,140562,168022,51218,15766,16228,11988,2742,8070,9118,6554,1388,81072,56340,50124,17286,41768,28882,24908,8152,18630,19674,20464,6832,9510,9328,9148,2738,5016,4000,2088,430,2562,2036,1084,196,45508,20272,12318,2876,23260,9970,6008,1400
5,AK-2007,242750,266090,312588,103968,126108,141882,166000,55480,15416,16492,12332,2930,7984,9442,6742,1472,80068,56516,50760,17812,41264,28914,25224,8374,18928,20080,20830,7388,9656,9528,9262,2946,5134,4394,2258,516,2636,2218,1166,274,46994,21852,12648,3080,24080,10804,6104,1490
6,AK-2008,239210,268952,311084,110688,124098,144990,165116,59258,15396,16748,12360,2984,8004,9824,6864,1492,79156,57586,51098,18456,40920,29512,25476,8714,19762,20632,21780,7800,10106,9744,9722,3186,5628,4552,2400,558,2900,2334,1234,266,48926,23294,12940,3324,25124,11606,6208,1652
7,AK-2009,241040,266328,312856,118656,124860,140708,165898,63614,15454,15826,12994,3250,8022,8760,7194,1660,78880,58922,51824,19224,40862,30028,25878,9072,21724,21616,22660,8352,11094,10302,10112,3420,6060,4982,2660,640,3046,2480,1356,296,51558,24618,13494,3648,26550,12018,6590,1778
8,AZ-2006,2859500,2810402,2738942,1602694,1468636,1449428,1347756,761108,164360,150918,113660,36786,85106,81600,59962,17624,247678,184310,132644,44958,125166,93054,62894,19860,82690,118058,79452,28560,41572,57138,34472,11350,9302,10112,5476,1580,4896,5580,2986,790,127140,63636,34930,11864,64908,31088,16814,5696
9,AZ-2007,2908886,2841786,2768660,1671344,1492430,1463510,1363098,794480,173804,159918,120592,39404,89854,86342,63532,18960,251082,190486,137358,47340,126884,96560,65236,21060,89050,125408,85040,31354,44820,60442,37142,12492,10046,10818,5930,1766,5248,6058,3210,892,137338,68632,36924,12880,69962,33650,17796,6168
10,AZ-2008,2939894,2852300,2788944,1741556,1507366,1465820,1373438,828476,183232,168652,126676,42468,94784,91150,66628,20462,254238,196714,141596,50328,128426,100002,67258,22420,94492,129804,90644,34198,47700,62662,39826,13648,10458,11366,6388,1946,5466,6274,3504,994,147326,73878,38966,13810,74698,36278,18708,6552
11,AZ-2009,2926534,2837718,2801248,1807390,1498438,1454898,1380412,860150,190018,175126,132254,45336,98500,94536,69150,21948,253976,201616,144986,52816,128224,102538,69180,23618,98022,132376,95502,36842,49430,64012,42042,14638,10702,11698,6834,2038,5644,6450,3782,1036,156516,78416,41066,14894,79416,38392,19724,7040
12,AR-2006,1170316,1176202,1268178,763000,602214,598324,629432,356790,308450,251758,221668,80046,155788,118618,103544,34048,14090,13748,12888,4136,7166,6948,6264,2058,17876,24198,15256,4504,8754,11870,6628,1844,4080,3602,1282,282,2064,1908,608,144,38480,18322,15808,6896,19484,8860,7774,3116
13,AR-2007,1179592,1180062,1265414,789276,606888,600260,628164,370108,306868,253066,223970,82526,155168,119426,104378,35500,14686,14210,13400,4450,7500,7214,6412,2236,18938,25098,16216,4908,9344,12164,7148,2034,4486,3848,1370,306,2346,2066,688,146,41424,19324,15954,7302,21026,9264,7824,3302
14,AR-2008,1186152,1184656,1264092,811312,609548,602280,628150,381526,306464,254906,226874,86422,154768,120814,105442,37358,15540,14582,13562,4660,7872,7436,6526,2374,19742,26150,16856,5214,9788,12768,7386,2166,4908,4212,1466,334,2528,2232,766,172,44384,20330,16130,7680,22386,9808,7848,3476
15,AR-2009,1189722,1186176,1264264,830976,611192,602198,628836,391138,305700,257908,228404,89482,154192,122462,106244,39384,15962,14960,13820,4956,8180,7658,6626,2480,20846,27734,17690,5662,10254,13466,7904,2390,5426,4800,1634,380,2786,2570,796,196,47346,21526,16440,8010,23884,10338,7994,3654
16,CA-2006,15550936,15596248,14862522,6605680,7987486,8108694,7471214,3073714,1536436,1408860,1337688,496230,783562,707418,653904,221626,348386,333178,253728,73700,177358,173846,126260,34914,2272442,2967846,2634222,1107062,1167740,1428148,1216710,487958,110588,112016,79636,24120,56700,56208,39044,11266,1033860,591302,367452,110748,524304,285710,175538,50706
17,CA-2007,15457054,15520560,14809464,6862268,7936138,8069426,7447310,3206406,1517140,1405854,1346660,511818,774050,707742,660568,228588,362576,348112,265750,79866,185270,182098,132442,37916,2306300,3014434,2703796,1167630,1184968,1448950,1246970,515100,112092,114228,82474,25354,57426,57508,40330,11816,1082944,624832,382284,119280,549700,302474,183104,54674
18,CA-2008,15412650,15511394,14863388,7089340,7910740,8058358,7478136,3324356,1505164,1411834,1357324,529468,768096,711236,667386,237652,380124,365076,279682,86368,193974,191274,139766,41214,2347036,3059880,2777716,1236504,1205556,1470314,1278920,546198,113510,116868,85310,26948,58128,58882,41480,12616,1138852,661496,399358,127412,578346,320470,191566,58328
19,CA-2009,15315576,15518604,14935156,7337086,7857912,8056446,7516840,3448454,1493154,1422922,1367214,552484,762034,717090,673922,247952,406460,384132,294478,93470,207588,201810,147936,44336,2377052,3095694,2848102,1310384,1220134,1486754,1309830,579618,115140,119126,87962,28738,58828,60098,42630,13494,1194738,700164,418950,136330,606994,339468,201506,62346
20,CO-2006,2259640,2408900,2503466,1027096,1163762,1250026,1249494,486960,127774,121698,104162,32466,65344,65954,55782,15350,41320,43332,33474,8654,20818,22734,17072,4220,69416,93936,64654,22186,33622,44756,28150,9036,4892,5376,3168,778,2468,2886,1614,388,108060,57400,33432,8542,54654,27846,16160,3924
21,CO-2007,2280920,2434746,2512758,1092814,1174208,1260758,1253464,520712,130222,123140,106796,34008,66760,66516,57380,16094,43156,44976,34966,9526,21806,23340,17858,4668,71642,95498,67746,23882,34590,45040,29548,9730,5248,5494,3340,814,2600,2934,1706,412,115702,61496,34942,9270,58608,29796,16840,4252
22,CO-2008,2299868,2465442,2527738,1150314,1183938,1276518,1260052,550004,133312,125964,109554,35806,68552,68278,58920,17138,46230,47028,36770,10398,23202,24672,18758,5158,74122,96852,70912,25598,35798,45480,30902,10482,5578,5678,3492,904,2756,2936,1816,438,123062,65756,36688,10048,62408,31894,17720,4656
23,CO-2009,2314436,2485194,2546506,1210858,1191794,1284464,1269618,580080,136354,128982,112238,37988,70132,70260,60468,18142,49164,48174,38834,11464,25006,25040,19820,5752,76820,98524,74396,27408,36982,46132,32658,11282,5746,6080,3616,1034,2854,3304,1886,488,131100,69848,38574,10816,66330,33936,18622,4916
24,CT-2006,1481068,1386986,1854818,885398,761174,697118,909056,406490,248040,220456,188280,68556,126546,105490,86558,28652,9528,9084,7274,2066,4874,4782,3694,954,68346,95010,60206,17764,33932,46544,29294,8432,1958,2252,1510,280,954,1276,866,120,61268,29400,18140,5166,30738,14152,8690,2288
25,CT-2007,1463952,1373124,1842382,916934,752686,691004,903568,422242,249588,222240,192618,71212,127786,106388,88674,29836,9820,9566,7576,2176,5022,4950,3766,1042,70970,97868,63084,19258,35316,47936,30642,9094,2012,2288,1654,328,974,1324,938,142,64768,31150,18884,5552,32492,14874,9000,2496
26,CT-2008,1448548,1367244,1843234,939702,744400,688422,904456,433970,250412,224844,197440,74114,128532,107652,90820,31024,10240,9908,7840,2374,5180,5196,3880,1084,73718,100800,66394,20666,36528,49252,32144,9742,2014,2414,1788,310,1010,1364,986,130,68602,33072,19838,5874,34482,15754,9446,2666
27,CT-2009,1428590,1361588,1843922,962588,734166,686872,903854,446250,252720,228182,202130,77278,129364,109454,93226,32180,10634,10316,8306,2492,5510,5400,4134,1160,76452,102966,69622,22150,37792,50028,33558,10372,2090,2450,1840,354,994,1366,1062,176,72430,34948,20698,6314,36394,16688,9844,2822
28,DE-2006,303828,319240,374050,215936,155172,160058,182940,100666,120716,103706,95994,35112,61114,48940,43578,15364,2966,3108,2384,896,1476,1602,1214,454,13232,19124,12290,4602,6834,9370,5672,2114,350,522,202,58,168,296,102,26,17820,7068,4190,1458,8856,3206,1878,654
29,DE-2007,303278,317770,374242,225334,154808,159798,182920,105462,123266,105412,99324,37308,62278,49684,44870,16324,3106,3396,2420,926,1534,1768,1232,474,14226,20172,12906,5046,7282,9954,5948,2288,400,498,236,60,186,266,100,26,19282,7532,4332,1530,9434,3410,1926,684
30,DE-2008,302506,316936,373994,234724,154556,159686,182698,109788,125434,106784,102388,39656,63518,50576,46274,17370,3356,3566,2526,1028,1680,1804,1308,526,15046,20760,13594,5432,7574,10304,6292,2428,410,542,214,64,194,312,110,28,20784,8154,4688,1678,10106,3680,2112,776
31,DE-2009,299808,316280,374000,240578,152978,159054,182962,112412,126614,107396,104970,41690,64086,50938,47414,18140,3580,3772,2736,1008,1802,1942,1450,500,15526,21416,14124,5862,7792,10576,6606,2604,474,554,224,72,250,296,98,28,22616,8730,4910,1778,11076,3932,2170,802
32,District of Columbia-2006,66176,208092,101288,47370,32706,103920,54022,23652,173538,166564,182612,90712,86182,75162,84036,36908,1206,2186,1450,526,588,1178,748,246,5260,21514,7306,2904,2406,9354,3130,1132,348,612,254,86,190,350,108,36,7164,9122,4300,1570,3490,4028,1994,612
33,District of Columbia-2007,66514,218960,101368,50300,32950,108610,54506,24904,169702,165236,179666,90926,84346,75012,82456,37168,1342,2296,1454,586,668,1218,744,264,5362,20362,7396,3032,2474,8916,3242,1198,330,646,262,82,184,352,112,36,7652,9728,4354,1668,3736,4342,2016,664
34,District of Columbia-2008,67752,227954,102470,52364,33456,112394,55222,25964,166854,163148,176928,91478,83066,73622,81840,37314,1402,2396,1530,614,680,1262,772,282,5308,23710,7428,3286,2416,10004,3162,1276,358,672,288,90,190,384,128,38,8060,10458,4836,1714,4012,4614,2212,676
35,District of Columbia-2009,70654,244512,103740,54634,34944,119628,56600,26694,163718,165322,174910,92364,81404,74994,81072,37964,1502,2754,1684,624,720,1436,858,284,5620,22814,8090,3402,2598,10458,3456,1334,388,754,314,92,212,366,142,40,8616,11574,4882,1844,4282,5176,2256,696
36,FL-2006,6458908,7043432,8332628,5566598,3324466,3598682,4093666,2599488,1998316,1717096,1446372,539232,1013240,824984,680524,236670,50156,50714,45456,14382,25924,27798,23092,7278,211840,290404,235932,87108,106536,136578,103026,37952,10572,12240,8028,2100,5420,6522,3916,968,261362,137700,97822,35578,132294,66690,46464,16258
37,FL-2007,6466710,7067026,8337322,5716036,3327382,3614846,4098554,2673690,2012156,1746020,1482040,564188,1020342,841038,698316,248028,51504,52600,46496,15552,26470,28968,23696,7878,220122,299490,246738,94536,110648,140534,108114,41336,11172,12866,8352,2246,5748,6980,4054,1038,279362,146060,101886,37934,140962,70726,48168,17486
38,FL-2008,6443420,7051796,8330762,5871208,3313218,3603504,4095058,2749018,2024430,1771662,1513476,592674,1027116,853330,713266,261402,51934,53666,47740,16736,26624,29580,24404,8394,226628,304230,256890,102612,113920,142338,112958,44732,11486,13140,8644,2476,5882,6998,4106,1150,297358,154670,105746,40334,149966,74464,49976,18564
39,FL-2009,6399340,7023456,8339210,6006274,3287622,3586194,4099936,2813828,2019246,1799268,1541140,619924,1025046,866808,727290,273358,51918,54682,48714,17706,26708,30240,24892,8848,230784,307620,265698,110566,116032,143502,117084,47972,11472,13626,8962,2686,5918,7368,4302,1256,314534,163210,109940,42590,158684,78330,51780,19660
40,GA-2006,3161254,3344090,3422478,1622396,1628598,1729968,1709440,756100,1862052,1680796,1440200,451916,940486,782974,658350,187872,25004,27672,18770,4674,13072,15312,9244,2422,151954,204154,139968,40936,77750,99066,66224,18916,5766,7116,3004,612,3022,4010,1636,324,133154,65686,39690,12330,67132,30824,18598,5510
41,GA-2007,3210542,3346646,3437566,1712386,1653348,1722604,1716300,801796,1906620,1713528,1493542,482210,962978,794690,681352,201228,26592,29324,19920,5194,14078,16268,9998,2720,162228,211990,149494,45338,83124,102254,70804,20944,6166,7430,3226,704,3228,4172,1734,374,145950,71502,42088,13564,73386,33238,19674,6040
42,GA-2008,3227460,3349260,3451182,1788010,1661172,1723358,1723106,840048,1934084,1744080,1535622,512986,976522,810130,701080,215510,29308,30966,20990,5626,15466,17258,10568,2888,171132,219052,159070,49654,87724,105184,75496,22906,6554,7770,3458,750,3398,4438,1860,404,159054,76948,44380,14632,79900,35892,20714,6566
43,GA-2009,3217732,3337360,3465324,1855872,1655112,1717686,1730306,873328,1949698,1766464,1568872,550004,984756,822640,715414,231472,31674,32558,21918,6034,16624,18100,11282,3102,177630,224264,167534,54178,90852,107880,79560,24908,7136,8226,3666,830,3688,4536,1942,430,170598,83154,46488,15834,85698,38736,21652,7150
44,HI-2006,120474,216284,223608,104750,63004,125292,119240,54912,14240,22872,9898,2130,7454,14396,6402,1310,2474,3842,2844,814,1248,2180,1464,436,191926,244812,331772,207622,98916,117234,157022,90282,90414,78188,63196,25218,46618,40474,31894,12066,246000,159910,113278,36786,126080,81164,56074,16954
45,HI-2007,117942,207550,221660,111600,61438,118136,118600,58770,13328,20622,10032,2318,6998,12834,6588,1434,2306,3718,2892,886,1174,2044,1468,458,190798,241488,332558,209828,98558,115300,157036,91560,91320,79256,64356,26080,46990,41036,32532,12518,251304,164190,116594,39184,128724,83112,57754,18252
46,HI-2008,116826,210988,219402,119296,60732,120400,117690,62930,12794,20412,10304,2484,6634,12854,6760,1598,2226,3868,2898,956,1128,2180,1446,506,189462,240316,331800,214356,97906,114756,156388,93870,92286,80784,65286,26932,47452,41738,33106,12972,256740,169290,119614,41966,131316,85728,59410,19592
47,HI-2009,115862,210830,215890,126028,59734,119476,115874,66814,12342,20086,10494,2670,6464,12706,6922,1696,2206,3950,2954,1052,1076,2224,1514,548,189020,238980,331266,218930,97760,114210,155686,96546,92380,82440,66258,27882,47410,42782,33672,13438,263376,174396,122848,44592,134918,88484,60880,20918
48,ID-2006,837038,740442,744168,369136,429242,379578,371908,179884,8240,6594,3410,666,4248,4156,2170,404,16500,13740,10998,3576,8498,6948,5484,1728,9100,13052,8678,3108,4372,6284,3580,1220,1550,1816,864,202,836,986,446,104,26430,12898,8598,2872,13124,6408,4172,1408
49,ID-2007,855030,755820,752182,389122,438798,387028,375642,190390,8772,6950,3798,708,4560,4350,2384,418,17212,14102,11360,3906,8876,7064,5690,1886,9830,13770,9278,3256,4646,6508,3838,1272,1744,1934,980,244,936,1068,482,138,28324,13930,8936,3178,14068,7014,4344,1600
50,ID-2008,868214,768578,756164,408266,445722,392936,377542,200056,9264,7022,3928,788,4756,4408,2482,488,17982,14448,11812,4114,9170,7248,5908,2020,10264,14006,9626,3418,4866,6654,3968,1358,1832,1998,982,280,990,1016,482,164,30088,14726,9390,3460,15028,7346,4578,1774
51,ID-2009,873744,772574,759632,426464,448160,394222,378970,209098,9382,7640,4222,824,4836,4786,2654,500,18294,14830,12274,4322,9436,7602,6104,2148,10736,14114,10014,3642,5098,6686,4122,1420,1874,2156,1062,278,1002,1132,562,158,31614,15790,9790,3668,15776,7792,4758,1852
52,IL-2006,5284662,5441064,5704560,2698910,2716970,2787850,2845616,1240442,1282268,1057644,980414,400596,650772,497544,442618,166454,39852,40220,27406,6606,20044,21152,14156,3030,276874,403242,278390,110642,140582,198492,130914,51224,4658,5840,3316,910,2420,3130,1634,410,185726,86260,49926,15476,93906,41930,23964,6894
53,IL-2007,5261628,5426642,5682984,2786286,2702800,2777902,2835998,1286682,1270462,1053250,984494,409872,644236,495286,444878,170752,42812,42686,28878,7272,21602,22674,14842,3386,285098,416784,284956,119136,144566,204498,134036,55294,4620,5878,3392,932,2436,3114,1688,400,197960,91634,51862,16632,99902,44532,24960,7450
54,IL-2008,5232264,5419524,5683190,2853738,2686122,2772406,2836054,1323498,1259560,1049704,987708,421146,637974,494280,446732,175518,45780,45064,31004,7942,23060,24106,16206,3690,292688,423622,294362,127326,148010,206980,138620,58966,4652,5832,3430,966,2466,3110,1674,432,210300,97686,54146,17650,106304,47322,26204,7902
55,IL-2009,5196750,5402148,5690504,2927352,2666394,2759192,2839832,1362274,1245300,1051010,990212,433008,630616,494044,449584,180452,50336,47562,32844,8760,25408,25414,17188,4098,299828,429142,304306,136154,151314,209464,142968,63012,4706,5716,3468,990,2416,3082,1724,450,222608,103516,56442,18802,112538,50020,27260,8454
56,IN-2006,3013148,2927996,3197308,1564718,1546948,1483926,1589794,720870,400380,329470,282610,106436,203396,158996,132120,45586,13178,13278,12212,3356,6696,7112,6280,1644,50666,74810,39620,11926,25454,37760,18098,5328,2002,2556,1312,336,1004,1500,658,168,102316,37560,22666,7892,51690,17990,10886,3682
57,IN-2007,3015266,2919800,3189366,1623506,1547772,1479564,1586762,750746,405896,334250,287814,109086,206212,161228,134618,46662,13640,13722,12542,3562,6940,7364,6392,1770,53810,77476,41756,12988,26892,39072,19258,5822,2136,2536,1382,324,1048,1454,684,178,110094,40112,23354,8364,55352,19328,11184,3938
58,IN-2008,3016282,2916324,3188494,1669106,1547842,1476670,1587114,775362,410804,338522,293294,112850,208806,163280,137416,48410,14196,14358,12854,3830,7160,7730,6652,1870,56488,79596,43888,14050,28106,39860,20210,6234,2266,2586,1454,364,1154,1548,720,176,117588,42478,24120,8876,58798,20302,11586,4186
59,IN-2009,3002250,2906914,3187066,1718294,1540232,1469576,1587614,800894,414420,343010,297324,117068,210782,165406,139398,50476,15112,14616,13132,4144,7654,7906,6780,2040,59316,82656,45964,15370,29456,41516,21316,6804,2340,2830,1534,370,1190,1592,766,156,125238,45208,25124,9232,62626,21568,12032,4354
60,IA-2006,1477590,1408450,1605156,844928,757326,716280,803398,392158,62922,48816,32722,9846,32572,26550,17670,4622,9136,7252,5746,1310,4612,3792,2742,592,28152,39810,19104,6096,13878,20604,8880,2732,1368,1480,630,158,692,816,316,76,45196,15166,7932,2446,22886,7426,3928,1148
61,IA-2007,1474488,1407376,1597128,870174,755956,716068,799128,405796,66492,51042,34090,10324,34510,27850,18340,4874,9726,7498,5868,1450,4936,3976,2812,646,28988,40978,19800,6460,14250,21322,9226,2886,1540,1658,616,192,836,860,310,92,48434,16280,8244,2594,24632,7882,4072,1198
62,IA-2008,1474216,1410442,1591834,889068,755826,717830,796344,416598,69782,53418,35550,10914,36356,28920,19342,5216,10024,7624,6146,1518,5192,3992,2986,696,29682,41800,21046,6816,14650,21700,9830,3040,1530,1614,656,184,710,908,322,104,52070,17338,8580,2714,26440,8430,4276,1246
63,IA-2009,1471230,1410294,1589038,909808,754276,717454,795280,427780,71796,56364,36994,11376,37060,30798,20088,5466,10166,8186,6338,1668,5170,4310,3094,770,30796,43408,22076,7284,15224,22512,10300,3190,1718,1740,714,228,892,880,358,102,55100,18466,8950,2872,28048,8914,4478,1328
64,KS-2006,1341676,1268668,1384594,681126,689942,647426,689668,317548,113062,97598,82566,28764,58596,51600,41786,12622,20612,18832,15188,4510,10730,9646,7408,2168,34536,49296,28628,9152,17136,24496,13248,4056,1540,1834,940,228,788,990,500,124,66776,26776,16928,5314,33726,13092,7996,2462
65,KS-2007,1345190,1271098,1378286,704396,691344,646486,686146,329980,114242,98240,83564,29880,59188,51806,42144,13242,20974,19208,15284,4746,10802,9970,7404,2300,35954,50494,29572,9768,17908,24978,13680,4308,1700,1760,994,242,858,962,498,134,71494,28258,17376,5578,36048,13600,8246,2564
